id,ParagraphNum,PlainText,character_id,chapter_id
630890,96,"That were hard to compass;
Because she will admit no kind of suit,
No, not the duke's.",975,18705
630891,99,"There is a fair behavior in thee, captain;
And though that nature with a beauteous wall
Doth oft close in pollution, yet of thee
I will believe thou hast a mind that suits
With this thy fair and outward character.
I prithee, and I'll pay thee bounteously,
Conceal me what I am, and be my aid
For such disguise as haply shall become
The form of my intent. I'll serve this duke:
Thou shall present me as an eunuch to him:
It may be worth thy pains; for I can sing
And speak to him in many sorts of music
That will allow me very worth his service.
What else may hap to time I will commit;
Only shape thou thy silence to my wit.",1238,18705
630892,114,"Be you his eunuch, and your mute I'll be:
When my tongue blabs, then let mine eyes not see.",975,18705
630893,116,"I thank thee: lead me on.",1238,18705
630894,117,[Exeunt],1261,18705
630895,119,"[Enter SIR TOBY BELCH and MARIA]",1261,18706
630896,120,"What a plague means my niece, to take the death of
her brother thus? I am sure care's an enemy to life.",159,18706
630897,122,"By my troth, Sir Toby, you must come in earlier o'
nights: your cousin, my lady, takes great
exceptions to your ill hours.",738,18706
630898,125,"Why, let her except, before excepted.",159,18706
630899,126,"Ay, but you must confine yourself within the modest
limits of order.",738,18706
630900,128,"Confine! I'll confine myself no finer than I am:
these clothes are good enough to drink in; and so be
these boots too: an they be not, let them hang
themselves in their own straps.",159,18706
630901,132,"That quaffing and drinking will undo you: I heard
my lady talk of it yesterday; and of a foolish
knight that you brought in one night here to be her wooer.",738,18706
630902,135,"Who, Sir Andrew Aguecheek?",159,18706
630903,136,"Ay, he.",738,18706
630904,137,"He's as tall a man as any's in Illyria.",159,18706
630905,138,"What's that to the purpose?",738,18706
630906,139,"Why, he has three thousand ducats a year.",159,18706
630907,140,"Ay, but he'll have but a year in all these ducats:
he's a very fool and a prodigal.",738,18706
630908,142,"Fie, that you'll say so! he plays o' the
viol-de-gamboys, and speaks three or four languages
word for word without book, and hath all the good
gifts of nature.",159,18706
630909,146,"He hath indeed, almost natural: for besides that
he's a fool, he's a great quarreller: and but that
he hath the gift of a coward to allay the gust he
hath in quarrelling, 'tis thought among the prudent
he would quickly have the gift of a grave.",738,18706
630910,151,"By this hand, they are scoundrels and subtractors
that say so of him. Who are they?",159,18706
630911,153,"They that add, moreover, he's drunk nightly in your company.",738,18706
630912,154,"With drinking healths to my niece: I'll drink to
her as long as there is a passage in my throat and
drink in Illyria: he's a coward and a coystrill
that will not drink to my niece till his brains turn
o' the toe like a parish-top. What, wench!
Castiliano vulgo! for here comes Sir Andrew Agueface.",159,18706
630913,160,"[Enter SIR ANDREW]",1261,18706
630914,161,"Sir Toby Belch! how now, Sir Toby Belch!",60,18706
630915,162,"Sweet Sir Andrew!",159,18706
630916,163,"Bless you, fair shrew.",60,18706
630917,164,"And you too, sir.",738,18706
630918,165,"Accost, Sir Andrew, accost.",159,18706
630919,166,"What's that?",60,18706
630920,167,"My niece's chambermaid.",159,18706
630921,168,"Good Mistress Accost, I desire better acquaintance.",60,18706
630922,169,"My name is Mary, sir.",738,18706
630923,170,"Good Mistress Mary Accost,--",60,18706
630924,171,"You mistake, knight; 'accost' is front her, board
her, woo her, assail her.",159,18706
630925,173,"By my troth, I would not undertake her in this
company. Is that the meaning of 'accost'?",60,18706
630926,175,"Fare you well, gentlemen.",738,18706
630927,176,"An thou let part so, Sir Andrew, would thou mightst
never draw sword again.",159,18706
630928,178,"An you part so, mistress, I would I might never
draw sword again. Fair lady, do you think you have
fools in hand?",60,18706
630929,181,"Sir, I have not you by the hand.",738,18706
630930,182,"Marry, but you shall have; and here's my hand.",60,18706
630931,183,"Now, sir, 'thought is free:' I pray you, bring
your hand to the buttery-bar and let it drink.",738,18706
630932,185,"Wherefore, sweet-heart? what's your metaphor?",60,18706
630933,186,"It's dry, sir.",738,18706
630934,187,"Why, I think so: I am not such an ass but I can
keep my hand dry. But what's your jest?",60,18706
630935,189,"A dry jest, sir.",738,18706
630936,190,"Are you full of them?",60,18706
630937,191,"Ay, sir, I have them at my fingers' ends: marry,
now I let go your hand, I am barren.",738,18706
630938,193,[Exit],1261,18706
630939,194,"O knight thou lackest a cup of canary: when did I
see thee so put down?",159,18706
630940,196,"Never in your life, I think; unless you see canary
put me down. Methinks sometimes I have no more wit
than a Christian or an ordinary man has: but I am a
great eater of beef and I believe that does harm to my wit.",60,18706
630941,200,"No question.",159,18706
630942,201,"An I thought that, I'ld forswear it. I'll ride home
to-morrow, Sir Toby.",60,18706
630943,203,"Pourquoi, my dear knight?",159,18706
630944,204,"What is 'Pourquoi'? do or not do? I would I had
bestowed that time in the tongues that I have in
fencing, dancing and bear-baiting: O, had I but
followed the arts!",60,18706
630945,208,"Then hadst thou had an excellent head of hair.",159,18706
630946,209,"Why, would that have mended my hair?",60,18706
630947,210,"Past question; for thou seest it will not curl by nature.",159,18706
630948,211,"But it becomes me well enough, does't not?",60,18706
630949,212,"Excellent; it hangs like flax on a distaff; and I
hope to see a housewife take thee between her legs
and spin it off.",159,18706
630950,215,"Faith, I'll home to-morrow, Sir Toby: your niece
will not be seen; or if she be, it's four to one
she'll none of me: the count himself here hard by woos her.",60,18706
630951,218,"She'll none o' the count: she'll not match above
her degree, neither in estate, years, nor wit; I
have heard her swear't. Tut, there's life in't,
man.",159,18706
630952,222,"I'll stay a month longer. I am a fellow o' the
strangest mind i' the world; I delight in masques
and revels sometimes altogether.",60,18706
630953,225,"Art thou good at these kickshawses, knight?",159,18706
630954,226,"As any man in Illyria, whatsoever he be, under the
degree of my betters; and yet I will not compare
with an old man.",60,18706
630955,229,"What is thy excellence in a galliard, knight?",159,18706
630956,230,"Faith, I can cut a caper.",60,18706
630957,231,"And I can cut the mutton to't.",159,18706
630958,232,"And I think I have the back-trick simply as strong
as any man in Illyria.",60,18706
630959,234,"Wherefore are these things hid? wherefore have
these gifts a curtain before 'em? are they like to
take dust, like Mistress Mall's picture? why dost
thou not go to church in a galliard and come home in
a coranto? My very walk should be a jig; I would not
so much as make water but in a sink-a-pace. What
dost thou mean? Is it a world to hide virtues in?
I did think, by the excellent constitution of thy
leg, it was formed under the star of a galliard.",159,18706
630960,243,"Ay, 'tis strong, and it does indifferent well in a
flame-coloured stock. Shall we set about some revels?",60,18706
630961,245,"What shall we do else? were we not born under Taurus?",159,18706
630962,246,"Taurus! That's sides and heart.",60,18706
630963,247,"No, sir; it is legs and thighs. Let me see the
caper; ha! higher: ha, ha! excellent!",159,18706
630964,249,[Exeunt],1261,18706
630965,251,"[Enter VALENTINE and VIOLA in man's attire]",1261,18707
630966,252,"If the duke continue these favours towards you,
Cesario, you are like to be much advanced: he hath
known you but three days, and already you are no stranger.",1221,18707
630967,255,"You either fear his humour or my negligence, that
you call in question the continuance of his love:
is he inconstant, sir, in his favours?",1238,18707
630968,258,"No, believe me.",1221,18707
630969,259,"I thank you. Here comes the count.",1238,18707
630970,260,"[Enter DUKE ORSINO, CURIO, and Attendants]",1261,18707
630971,261,"Who saw Cesario, ho?",840,18707
630972,262,"On your attendance, my lord; here.",1238,18707
630973,263,"Stand you a while aloof, Cesario,
Thou know'st no less but all; I have unclasp'd
To thee the book even of my secret soul:
Therefore, good youth, address thy gait unto her;
Be not denied access, stand at her doors,
And tell them, there thy fixed foot shall grow
Till thou have audience.",840,18707
630974,270,"Sure, my noble lord,
If she be so abandon'd to her sorrow
As it is spoke, she never will admit me.",1238,18707
630975,273,"Be clamorous and leap all civil bounds
Rather than make unprofited return.",840,18707
630976,275,"Say I do speak with her, my lord, what then?",1238,18707
630977,276,"O, then unfold the passion of my love,
Surprise her with discourse of my dear faith:
It shall become thee well to act my woes;
She will attend it better in thy youth
Than in a nuncio's of more grave aspect.",840,18707
630978,281,"I think not so, my lord.",1238,18707
630979,282,"Dear lad, believe it;
For they shall yet belie thy happy years,
That say thou art a man: Diana's lip
Is not more smooth and rubious; thy small pipe
Is as the maiden's organ, shrill and sound,
And all is semblative a woman's part.
I know thy constellation is right apt
For this affair. Some four or five attend him;
All, if you will; for I myself am best
When least in company. Prosper well in this,
And thou shalt live as freely as thy lord,
To call his fortunes thine.",840,18707
630980,294,"I'll do my best
To woo your lady:
[Aside]
yet, a barful strife!
Whoe'er I woo, myself would be his wife.",1238,18707
630981,299,[Exeunt],1261,18707
630982,301,"[Enter MARIA and Clown]",1261,18708
630983,302,"Nay, either tell me where thou hast been, or I will
not open my lips so wide as a bristle may enter in
way of thy excuse: my lady will hang thee for thy absence.",738,18708
630984,305,"Let her hang me: he that is well hanged in this
world needs to fear no colours.",401,18708
630985,307,"Make that good.",738,18708
630986,308,"He shall see none to fear.",401,18708
630987,309,"A good lenten answer: I can tell thee where that
saying was born, of 'I fear no colours.'",738,18708
630988,311,"Where, good Mistress Mary?",401,18708
630989,312,"In the wars; and that may you be bold to say in your foolery.",738,18708
630990,313,"Well, God give them wisdom that have it; and those
that are fools, let them use their talents.",401,18708
630991,315,"Yet you will be hanged for being so long absent; or,
to be turned away, is not that as good as a hanging to you?",738,18708
630992,317,"Many a good hanging prevents a bad marriage; and,
for turning away, let summer bear it out.",401,18708
630993,319,"You are resolute, then?",738,18708
630994,320,"Not so, neither; but I am resolved on two points.",401,18708
630995,321,"That if one break, the other will hold; or, if both
break, your gaskins fall.",738,18708
630996,323,"Apt, in good faith; very apt. Well, go thy way; if
Sir Toby would leave drinking, thou wert as witty a
piece of Eve's flesh as any in Illyria.",401,18708
630997,326,"Peace, you rogue, no more o' that. Here comes my
lady: make your excuse wisely, you were best.",738,18708
630998,328,[Exit],1261,18708
630999,329,"Wit, an't be thy will, put me into good fooling!
Those wits, that think they have thee, do very oft
prove fools; and I, that am sure I lack thee, may
pass for a wise man: for what says Quinapalus?
'Better a witty fool, than a foolish wit.'
[Enter OLIVIA with MALVOLIO]
God bless thee, lady!",401,18708
631000,336,"Take the fool away.",836,18708
631001,337,"Do you not hear, fellows? Take away the lady.",401,18708
631002,338,"Go to, you're a dry fool; I'll no more of you:
besides, you grow dishonest.",836,18708
631003,340,"Two faults, madonna, that drink and good counsel
will amend: for give the dry fool drink, then is
the fool not dry: bid the dishonest man mend
himself; if he mend, he is no longer dishonest; if
he cannot, let the botcher mend him. Any thing
that's mended is but patched: virtue that
transgresses is but patched with sin; and sin that
amends is but patched with virtue. If that this
simple syllogism will serve, so; if it will not,
what remedy? As there is no true cuckold but
calamity, so beauty's a flower. The lady bade take
away the fool; therefore, I say again, take her away.",401,18708
631004,352,"Sir, I bade them take away you.",836,18708
631005,353,"Misprision in the highest degree! Lady, cucullus non
facit monachum; that's as much to say as I wear not
motley in my brain. Good madonna, give me leave to
prove you a fool.",401,18708
631006,357,"Can you do it?",836,18708
631007,358,"Dexterously, good madonna.",401,18708
631008,359,"Make your proof.",836,18708
631009,360,"I must catechise you for it, madonna: good my mouse
of virtue, answer me.",401,18708
631010,362,"Well, sir, for want of other idleness, I'll bide your proof.",836,18708
631011,363,"Good madonna, why mournest thou?",401,18708
631012,364,"Good fool, for my brother's death.",836,18708
631013,365,"I think his soul is in hell, madonna.",401,18708
631014,366,"I know his soul is in heaven, fool.",836,18708
631015,367,"The more fool, madonna, to mourn for your brother's
soul being in heaven. Take away the fool, gentlemen.",401,18708
631016,369,"What think you of this fool, Malvolio? doth he not mend?",836,18708
631017,370,"Yes, and shall do till the pangs of death shake him:
infirmity, that decays the wise, doth ever make the
better fool.",728,18708
631018,373,"God send you, sir, a speedy infirmity, for the
better increasing your folly! Sir Toby will be
sworn that I am no fox; but he will not pass his
word for two pence that you are no fool.",401,18708
631019,377,"How say you to that, Malvolio?",836,18708
631020,378,"I marvel your ladyship takes delight in such a
barren rascal: I saw him put down the other day
with an ordinary fool that has no more brain
than a stone. Look you now, he's out of his guard
already; unless you laugh and minister occasion to
him, he is gagged. I protest, I take these wise men,
that crow so at these set kind of fools, no better
than the fools' zanies.",728,18708
631021,386,"Oh, you are sick of self-love, Malvolio, and taste
with a distempered appetite. To be generous,
guiltless and of free disposition, is to take those
things for bird-bolts that you deem cannon-bullets:
there is no slander in an allowed fool, though he do
nothing but rail; nor no railing in a known discreet
man, though he do nothing but reprove.",836,18708
631022,393,"Now Mercury endue thee with leasing, for thou
speakest well of fools!",401,18708
631023,395,"[Re-enter MARIA]",1261,18708
631024,396,"Madam, there is at the gate a young gentleman much
desires to speak with you.",738,18708
631025,398,"From the Count Orsino, is it?",836,18708
631026,399,"I know not, madam: 'tis a fair young man, and well attended.",738,18708
631027,400,"Who of my people hold him in delay?",836,18708
631028,401,"Sir Toby, madam, your kinsman.",738,18708
631029,402,"Fetch him off, I pray you; he speaks nothing but
madman: fie on him!
[Exit MARIA]
Go you, Malvolio: if it be a suit from the count, I
am sick, or not at home; what you will, to dismiss it.
[Exit MALVOLIO]
Now you see, sir, how your fooling grows old, and
people dislike it.",836,18708
631030,410,"Thou hast spoke for us, madonna, as if thy eldest
son should be a fool; whose skull Jove cram with
brains! for,--here he comes,--one of thy kin has a
most weak pia mater.",401,18708
631031,414,"[Enter SIR TOBY BELCH]",1261,18708
631032,415,"By mine honour, half drunk. What is he at the gate, cousin?",836,18708
631033,416,"A gentleman.",159,18708
631034,417,"A gentleman! what gentleman?",836,18708
631035,418,"'Tis a gentle man here--a plague o' these
pickle-herring! How now, sot!",159,18708
631036,420,"Good Sir Toby!",401,18708
631037,421,"Cousin, cousin, how have you come so early by this lethargy?",836,18708
631038,422,"Lechery! I defy lechery. There's one at the gate.",159,18708
631039,423,"Ay, marry, what is he?",836,18708
631040,424,"Let him be the devil, an he will, I care not: give
me faith, say I. Well, it's all one.",159,18708
631041,426,[Exit],1261,18708
631042,427,"What's a drunken man like, fool?",836,18708
631043,428,"Like a drowned man, a fool and a mad man: one
draught above heat makes him a fool; the second mads
him; and a third drowns him.",401,18708
631044,431,"Go thou and seek the crowner, and let him sit o' my
coz; for he's in the third degree of drink, he's
drowned: go, look after him.",836,18708
631045,434,"He is but mad yet, madonna; and the fool shall look
to the madman.",401,18708
631046,436,[Exit],1261,18708
631047,437,"[Re-enter MALVOLIO]",1261,18708
631048,438,"Madam, yond young fellow swears he will speak with
you. I told him you were sick; he takes on him to
understand so much, and therefore comes to speak
with you. I told him you were asleep; he seems to
have a foreknowledge of that too, and therefore
comes to speak with you. What is to be said to him,
lady? he's fortified against any denial.",728,18708
631049,445,"Tell him he shall not speak with me.",836,18708
631050,446,"Has been told so; and he says, he'll stand at your
door like a sheriff's post, and be the supporter to
a bench, but he'll speak with you.",728,18708
631051,449,"What kind o' man is he?",836,18708
631052,450,"Why, of mankind.",728,18708
631053,451,"What manner of man?",836,18708
631054,452,"Of very ill manner; he'll speak with you, will you or no.",728,18708
631055,453,"Of what personage and years is he?",836,18708
631056,454,"Not yet old enough for a man, nor young enough for
a boy; as a squash is before 'tis a peascod, or a
cooling when 'tis almost an apple: 'tis with him
in standing water, between boy and man. He is very
well-favoured and he speaks very shrewishly; one
would think his mother's milk were scarce out of him.",728,18708
631057,460,"Let him approach: call in my gentlewoman.",836,18708
631058,461,"Gentlewoman, my lady calls.",728,18708
631059,462,[Exit],1261,18708
631060,463,"[Re-enter MARIA]",1261,18708
631061,464,"Give me my veil: come, throw it o'er my face.
We'll once more hear Orsino's embassy.",836,18708
631062,466,"[Enter VIOLA, and Attendants]",1261,18708
631063,467,"The honourable lady of the house, which is she?",1238,18708
631064,468,"Speak to me; I shall answer for her.
Your will?",836,18708
631065,470,"Most radiant, exquisite and unmatchable beauty,--I
pray you, tell me if this be the lady of the house,
for I never saw her: I would be loath to cast away
my speech, for besides that it is excellently well
penned, I have taken great pains to con it. Good
beauties, let me sustain no scorn; I am very
comptible, even to the least sinister usage.",1238,18708
631066,477,"Whence came you, sir?",836,18708
631067,478,"I can say little more than I have studied, and that
question's out of my part. Good gentle one, give me
modest assurance if you be the lady of the house,
that I may proceed in my speech.",1238,18708
631068,482,"Are you a comedian?",836,18708
631069,483,"No, my profound heart: and yet, by the very fangs
of malice I swear, I am not that I play. Are you
the lady of the house?",1238,18708
631070,486,"If I do not usurp myself, I am.",836,18708
631071,487,"Most certain, if you are she, you do usurp
yourself; for what is yours to bestow is not yours
to reserve. But this is from my commission: I will
on with my speech in your praise, and then show you
the heart of my message.",1238,18708
631072,492,"Come to what is important in't: I forgive you the praise.",836,18708
631073,493,"Alas, I took great pains to study it, and 'tis poetical.",1238,18708
631074,494,"It is the more like to be feigned: I pray you,
keep it in. I heard you were saucy at my gates,
and allowed your approach rather to wonder at you
than to hear you. If you be not mad, be gone; if
you have reason, be brief: 'tis not that time of
moon with me to make one in so skipping a dialogue.",836,18708
631075,500,"Will you hoist sail, sir? here lies your way.",738,18708
631076,501,"No, good swabber; I am to hull here a little
longer. Some mollification for your giant, sweet
lady. Tell me your mind: I am a messenger.",1238,18708
631077,504,"Sure, you have some hideous matter to deliver, when
the courtesy of it is so fearful. Speak your office.",836,18708
631078,506,"It alone concerns your ear. I bring no overture of
war, no taxation of homage: I hold the olive in my
hand; my words are as fun of peace as matter.",1238,18708
631079,509,"Yet you began rudely. What are you? what would you?",836,18708
631080,510,"The rudeness that hath appeared in me have I
learned from my entertainment. What I am, and what I
would, are as secret as maidenhead; to your ears,
divinity, to any other's, profanation.",1238,18708
631081,514,"Give us the place alone: we will hear this divinity.
[Exeunt MARIA and Attendants]
Now, sir, what is your text?",836,18708
631082,517,"Most sweet lady,--",1238,18708
631083,518,"A comfortable doctrine, and much may be said of it.
Where lies your text?",836,18708
631084,520,"In Orsino's bosom.",1238,18708
631085,521,"In his bosom! In what chapter of his bosom?",836,18708
631086,522,"To answer by the method, in the first of his heart.",1238,18708
631087,523,"O, I have read it: it is heresy. Have you no more to say?",836,18708
631088,524,"Good madam, let me see your face.",1238,18708
631089,525,"Have you any commission from your lord to negotiate
with my face? You are now out of your text: but
we will draw the curtain and show you the picture.
Look you, sir, such a one I was this present: is't
not well done?",836,18708
631090,530,[Unveiling],1261,18708
631091,531,"Excellently done, if God did all.",1238,18708
631092,532,"'Tis in grain, sir; 'twill endure wind and weather.",836,18708
631093,533,"'Tis beauty truly blent, whose red and white
Nature's own sweet and cunning hand laid on:
Lady, you are the cruell'st she alive,
If you will lead these graces to the grave
And leave the world no copy.",1238,18708
631094,538,"O, sir, I will not be so hard-hearted; I will give
out divers schedules of my beauty: it shall be
inventoried, and every particle and utensil
labelled to my will: as, item, two lips,
indifferent red; item, two grey eyes, with lids to
them; item, one neck, one chin, and so forth. Were
you sent hither to praise me?",836,18708
631095,545,"I see you what you are, you are too proud;
But, if you were the devil, you are fair.
My lord and master loves you: O, such love
Could be but recompensed, though you were crown'd
The nonpareil of beauty!",1238,18708
631096,550,"How does he love me?",836,18708
631097,551,"With adorations, fertile tears,
With groans that thunder love, with sighs of fire.",1238,18708
631098,553,"Your lord does know my mind; I cannot love him:
Yet I suppose him virtuous, know him noble,
Of great estate, of fresh and stainless youth;
In voices well divulged, free, learn'd and valiant;
And in dimension and the shape of nature
A gracious person: but yet I cannot love him;
He might have took his answer long ago.",836,18708
631099,560,"If I did love you in my master's flame,
With such a suffering, such a deadly life,
In your denial I would find no sense;
I would not understand it.",1238,18708
631100,564,"Why, what would you?",836,18708
631101,565,"Make me a willow cabin at your gate,
And call upon my soul within the house;
Write loyal cantons of contemned love
And sing them loud even in the dead of night;
Halloo your name to the reverberate hills
And make the babbling gossip of the air
Cry out 'Olivia!' O, You should not rest
Between the elements of air and earth,
But you should pity me!",1238,18708
631102,574,"You might do much.
What is your parentage?",836,18708
631103,576,"Above my fortunes, yet my state is well:
I am a gentleman.",1238,18708
631104,578,"Get you to your lord;
I cannot love him: let him send no more;
Unless, perchance, you come to me again,
To tell me how he takes it. Fare you well:
I thank you for your pains: spend this for me.",836,18708
631105,583,"I am no fee'd post, lady; keep your purse:
My master, not myself, lacks recompense.
Love make his heart of flint that you shall love;
And let your fervor, like my master's, be
Placed in contempt! Farewell, fair cruelty.",1238,18708
631106,588,[Exit],1261,18708
631107,589,"'What is your parentage?'
'Above my fortunes, yet my state is well:
I am a gentleman.' I'll be sworn thou art;
Thy tongue, thy face, thy limbs, actions and spirit,
Do give thee five-fold blazon: not too fast:
soft, soft!
Unless the master were the man. How now!
Even so quickly may one catch the plague?
Methinks I feel this youth's perfections
With an invisible and subtle stealth
To creep in at mine eyes. Well, let it be.
What ho, Malvolio!",836,18708
631108,601,"[Re-enter MALVOLIO]",1261,18708
631109,602,"Here, madam, at your service.",728,18708
631110,603,"Run after that same peevish messenger,
The county's man: he left this ring behind him,
Would I or not: tell him I'll none of it.
Desire him not to flatter with his lord,
Nor hold him up with hopes; I am not for him:
If that the youth will come this way to-morrow,
I'll give him reasons for't: hie thee, Malvolio.",836,18708
631111,610,"Madam, I will.",728,18708
631112,611,[Exit],1261,18708
631113,612,"I do I know not what, and fear to find
Mine eye too great a flatterer for my mind.
Fate, show thy force: ourselves we do not owe;
What is decreed must be, and be this so.",836,18708
631114,616,[Exit],1261,18708
631115,619,"[Enter ANTONIO and SEBASTIAN]",1261,18709
631116,620,"Will you stay no longer? nor will you not that I go with you?",116,18709
631117,621,"By your patience, no. My stars shine darkly over
me: the malignancy of my fate might perhaps
distemper yours; therefore I shall crave of you your
leave that I may bear my evils alone: it were a bad
recompense for your love, to lay any of them on you.",976,18709
631118,627,"No, sooth, sir: my determinate voyage is mere
extravagancy. But I perceive in you so excellent a
touch of modesty, that you will not extort from me
what I am willing to keep in; therefore it charges
me in manners the rather to express myself. You
must know of me then, Antonio, my name is Sebastian,
which I called Roderigo. My father was that
Sebastian of Messaline, whom I know you have heard
of. He left behind him myself and a sister, both
born in an hour: if the heavens had been pleased,
would we had so ended! but you, sir, altered that;
for some hour before you took me from the breach of
the sea was my sister drowned.",976,18709
631119,640,"Alas the day!",116,18709
631120,641,"A lady, sir, though it was said she much resembled
me, was yet of many accounted beautiful: but,
though I could not with such estimable wonder
overfar believe that, yet thus far I will boldly
publish her; she bore a mind that envy could not but
call fair. She is drowned already, sir, with salt
water, though I seem to drown her remembrance again with more.",976,18709
631121,648,"Pardon me, sir, your bad entertainment.",116,18709
631122,649,"O good Antonio, forgive me your trouble.",976,18709
631123,650,"If you will not murder me for my love, let me be
your servant.",116,18709
631124,652,"If you will not undo what you have done, that is,
kill him whom you have recovered, desire it not.
Fare ye well at once: my bosom is full of kindness,
and I am yet so near the manners of my mother, that
upon the least occasion more mine eyes will tell
tales of me. I am bound to the Count Orsino's court: farewell.",976,18709
631125,658,[Exit],1261,18709
631126,659,"The gentleness of all the gods go with thee!
I have many enemies in Orsino's court,
Else would I very shortly see thee there.
But, come what may, I do adore thee so,
That danger shall seem sport, and I will go.",116,18709
631127,664,[Exit],1261,18709
631128,666,"[Enter VIOLA, MALVOLIO following]",1261,18710
631129,667,"Were not you even now with the Countess Olivia?",728,18710
631130,668,"Even now, sir; on a moderate pace I have since
arrived but hither.",1238,18710
631131,670,"She returns this ring to you, sir: you might have
saved me my pains, to have taken it away yourself.
She adds, moreover, that you should put your lord
into a desperate assurance she will none of him:
and one thing more, that you be never so hardy to
come again in his affairs, unless it be to report
your lord's taking of this. Receive it so.",728,18710
631132,677,"She took the ring of me: I'll none of it.",1238,18710
631133,678,"Come, sir, you peevishly threw it to her; and her
will is, it should be so returned: if it be worth
stooping for, there it lies in your eye; if not, be
it his that finds it.",728,18710
631134,682,[Exit],1261,18710
631135,683,"I left no ring with her: what means this lady?
Fortune forbid my outside have not charm'd her!
She made good view of me; indeed, so much,
That sure methought her eyes had lost her tongue,
For she did speak in starts distractedly.
She loves me, sure; the cunning of her passion
Invites me in this churlish messenger.
None of my lord's ring! why, he sent her none.
I am the man: if it be so, as 'tis,
Poor lady, she were better love a dream.
Disguise, I see, thou art a wickedness,
Wherein the pregnant enemy does much.
How easy is it for the proper-false
In women's waxen hearts to set their forms!
Alas, our frailty is the cause, not we!
For such as we are made of, such we be.
How will this fadge? my master loves her dearly;
And I, poor monster, fond as much on him;
And she, mistaken, seems to dote on me.
What will become of this? As I am man,
My state is desperate for my master's love;
As I am woman,--now alas the day!--
What thriftless sighs shall poor Olivia breathe!
O time! thou must untangle this, not I;
It is too hard a knot for me to untie!",1238,18710
631136,708,[Exit],1261,18710
631137,710,"[Enter SIR TOBY BELCH and SIR ANDREW]",1261,18711
631138,711,"Approach, Sir Andrew: not to be abed after
midnight is to be up betimes; and 'diluculo
surgere,' thou know'st,--",159,18711
631139,714,"Nay, my troth, I know not: but I know, to be up
late is to be up late.",60,18711
