id,CharName,Abbrev,Description
291,"Archbishop Cranmer",CRANMER,"Archbishop of Canterbury"
292,Cressida,CRESSIDA,"daughter to Calchas"
293,Crier,Crier,
294,Cromwell,CROMWELL,"servant to Wolsey"
295,Cupid,Cupid,
296,Curan,Cur,"a courtier"
297,Curio,CURIO,"gentleman attending on the Duke"
298,Curtis,CURTIS,
299,Cymbeline,CYMBELINE,"king of Britain"
300,Dardanius,DARDANIUS,"servant to Brutus"
301,"Lewis the Dauphin",DAUPHIN,
302,Davy,DAVY,"servant to Shallow"
303,"Decius Brutus","DECIUS BRUTUS","a conspirator against Caesar"
304,Deiphobus,DEIPHOBUS,"son of Priam, king of Troy"
305,Demetrius,Demetrius,"son to Tamora"
306,Demetrius,DEMETRIUS,"friend to Antony"
307,Demetrius,DEMETRIUS,"in love with Hermia"
308,Dennis,DENNIS,shepherd
309,"Sir Anthony Denny",DENNY,
310,Dercetas,DERCETAS,"friend to Antony"
311,Desdemona,DESDEMONA,"Daughter to Brabantio and wife to Othello"
312,Diana,DIANA,"daughter to the Widow"
313,Diana,DIANA,
314,"Dick the Butcher",DICK,"a follower of Cade"
315,Diomedes,DIOMEDES,"attendant on Cleopatra"
316,Diomedes,DIOMEDES,"a Greek prince"
317,Dion,DION,"a lord of Sicilia"
318,Dionyza,DIONYZA,"wife to Cleon"
319,"Doctor Butts","DOCTOR BUTTS","physician to the King"
320,"Doctor Caius","DOCTOR CAIUS","a French physician"
321,Doctor,Doct,
322,Doctor,Doctor,
323,Dogberry,DOGBERRY,"A constable"
324,Dolabella,DOLABELLA,"friend to Caesar"
325,"Domitius Enobarus","DOMITIUS ENOBARBUS","friend to Antony"
326,"Don Adriano de Armado","DON ADRIANO DE ARMADO","a fantastical Spaniard"
327,Donalbain,DONALBAIN,"Son of Duncan"
328,"Don John","DON JOHN","The prince's bastard brother"
329,"Don Pedro","DON PEDRO","Prince of Arragon"
330,Dorcas,DORCAS,"a shepherdess"
331,"Second Drawer","SECOND DRAWER",
332,"Third Drawer","THIRD DRAWER",
333,"Dromio of Ephesus","DROMIO OF EPHESUS","twin brother to Dromio of Syracuse, and attendant on the two Antipholuses"
334,"Dromio of Syracuse","DROMIO OF SYRACUSE","twin brother to Dromio of Ephesus, and attendant on the two Antipholuses"
335,"Duchess of Gloucester",DUCHESS,
336,"Duchess of York","DUCHESS OF YORK",
337,"Duchess of York","DUCHESS of YORK","mother to King Edward IV"
338,Duke,DUKE,"of Venice"
339,"Duke of Albany",Alb,
340,"Duke of Alencon",ALENCON,
341,Duke,"DUKE SENIOR","living in exile"
342,"Duke of Buckingham",BUCKINGHAM,
343,"Duke of Buckingham",BUCKINGHAM,
344,"Duke of Burgundy",Bur,
345,"Duke of Burgundy",BURGUNDY,
346,"Duke of Cornwall",Corn,
347,"Duke of Florence",DUKE,
348,"Duke of Milan",DUKE,"father to Silvia"
349,"Duke of Norfolk",NORFOLK,
350,"Duke of Norfolk",NORFOLK,
351,"Duke of Suffolk",SUFFOLK,
352,"Duke of Surrey","DUKE OF SURREY",
353,"Duke of Venice","DUKE OF VENICE",
354,Dull,DULL,"a constable"
355,Dumain,DUMAIN,"lord attending on the king"
356,Duncan,DUNCAN,"King of Scotland"
357,"Earl of Douglas","Earl of Douglas",
358,"Earl of Kent",Kent,
359,"Earl of Northumberland",NORTHUMBERLAND,
360,"Earl of Northumberland",NORTHUMBERLAND,
361,"Earl Oxford",OXFORD,
362,"Henry, Earl of Richmond","HENRY OF RICHMOND","a youth"
363,"Earl of Suffolk",SUFFOLK,
364,"Earl of Surrey",SURREY,
365,"Earl of Surrey",SURREY,"son of the Duke of Norfolk"
366,"Earl of Westmoreland",WESTMORELAND,
367,Edgar,Edg,"son of Glouchester"
368,"Edmond, Earl of Rutland",RUTLAND,
369,Edmund,Edm,"bastard son to Glouchester"
370,"Edmund of Langley","DUKE OF YORK","duke of York, uncle to the king"
371,"Edmund Mortimer",MORTIMER,"Earl of March"
372,"King Edward IV (Plantagenet)",EDWARD,
373,Egeus,EGEUS,"father to Hermia"
374,Eglamour,EGLAMOUR,"agent for Silvia in her escape"
375,Egyptian,Egyptian,
376,Elbow,ELBOW,"a simple constable"
377,Eleanor,DUCHESS,"duchess of Gloucester"
378,"Bishop of Ely",ELY,
379,Emilia,EMILIA,"Wife to Iago"
380,Emilia,EMILIA,"a lady attending on Hermione"
381,"English Herald","English Herald",
382,Eros,EROS,"friend to Antony"
383,"Sir Thomas Erpingham",ERPINGHAM,
384,"Prince Escalus",PRINCE,"Prince of Verona"
385,Escalus,ESCALUS,Escalus
386,Escanes,ESCANES,"a lord of Tyre"
387,Essex,ESSEX,"earl of Essex"
388,Euphronius,EUPHRONIUS,"an ambassador from Antony to Caesar"
389,"Duke of Exeter",EXETER,"uncle to Henry IV, great-uncle to Henry V"
390,"Sir Pierce of Exton",EXTON,
391,Fabian,FABIAN,"servant to Olivia"
392,Fairy,Fairy,
393,Falstaff,FALSTAFF,"Sir John Falstaff"
394,Fang,FANG,"a Sheriff's officer"
395,Father,Father,"who has killed his son"
396,Faulconbridge,ROBERT,"son of Sir Robert Faulconbridge"
397,"Francis Feeble",FEEBLE,"country soldier"
398,Fenton,FENTON,"a gentleman"
399,Ferdinand,FERDINAND,"king of Navarre"
400,Ferdinand,FERDINAND,"son to the King of Naples"
401,Feste,Clown,"a clown, servant to Olivia"
402,"Fifth Citizen","Fifth Citizen",
403,"First Ambassador","First Ambassador",
404,"First Attendant","First Attendant",
405,"First Bandit","First Bandit",
406,"First Brother","First Brother","an apparition"
407,"First British Captain","First Captain",
408,"First Carrier","First Carrier",
409,"First Citizen","First Citizen",
410,"First Citizen","First Citizen",
411,"First Citizen","First Citizen",
412,"First Citizen","First Citizen",
413,"First Citizen","First Citizen",
414,"First Commoner","First Commoner",
415,"First Executioner","First Executioner",
416,"First Fisherman","First Fisherman",
417,"First Gaoler","First Gaoler",
418,"First Gaoler","First Gaoler",
419,"First Gentleman","First Gentleman",
420,"First Gentleman","First Gentleman",
421,"First Gentleman","First Gentleman","a gentleman of Cymbeline's court"
422,"First Gentleman","First Gentleman",
423,"First Gentleman","First Gentleman",
424,"First Gentleman","First Gentleman",
425,"First Gentleman","First Gentleman",
426,"First Guard","First Guard",
427,"First Herald","First Herald",
428,"First Keeper","First Keeper",
429,"First Knight","First Knight",
430,"First Lady","First Lady",
431,"First Lady","First Lady",
432,"First Lady","First Lady",
433,"First Lord","First Lord",
434,"First Lord","First Lord",
435,"First Lord","FIRST LORD",
436,"First Lord","First Lord","a lord of Cymbeline's court"
437,"First Lord","First Lord",
438,"First Lord","First Lord",
439,"First Lord","First Lord",
440,"First Lord","First Lord",
441,"First Merchant","First Merchant","friend to Antipholus of Syracuse"
442,"First Messenger","First Messenger",
443,"First Murderer","First Murderer",
444,"First Murderer","First Murderer",
445,"First Neighbour","First Neighbour",
446,"First Officer","First Officer",
447,"First Officer","First Officer",
448,"First Officer","First Officer",
449,"First Outlaw","First Outlaw",
450,"First Petitioner","First Petitioner",
451,"First Pirate","First Pirate",
452,"First 'Prentice","First 'Prentice",
453,"First Roman","First Roman",
454,"First Sailor","First Sailor",
455,"First Secretary","First Secretary","to Wolsey"
456,"First Senator","First Senator",
457,"First Senator","First Senator",
458,"First Sentinel","First Sentinel",
459,"First Servant","First Servant",
460,"First Servant","First Servant",
461,"First Servant","First Servant",
462,"First Servant","First Servant",
463,"First Servant","First Servant",
464,"First Serviceman","First Serviceman",
465,"First Servingman","First Servingman",
466,"First Soldier","First Soldier",
467,"First Soldier","First Soldier",
468,"First Soldier","First Soldier",
469,"First Soldier","First Soldier",
470,"First Stranger","First Stranger",
471,"First Traveller","First Traveller",
472,"First Tribune","First Tribune",
473,"First Warder","First Warder",
474,"First Watchman","First Watchman",
475,Flaminius,Flaminius,
476,Flavius,FLAVIUS,"steward to Timon"
477,Flavius,FLAVIUS,"a tribune"
478,Fleance,FLEANCE,"Son to Banquo"
479,Florizel,FLORIZEL,"prince of Bohemia"
480,Fluellen,FLUELLEN,
481,Flute,FLUTE,"a bellows-mender"
482,Fool,Fool,
483,Fool,Fool,
484,Ford,FORD,"a gentleman dwelling at Windsor"
485,Forester,Forester,
486,Fortinbras,Fort,"Prince of Norway"
487,"Fourth Citizen","Fourth Citizen",
488,"Fourth Citizen","Fourth Citizen",
489,"Fourth Lord","Fourth Lord",
490,"Fourth Lord","Fourth Lord",
491,"Fourth Messenger","Fourth Messenger",
492,"Fourth Soldier","Fourth Soldier",
493,Francisca,FRANCISCA,"a nun"
494,Francisco,Fran,"a soldier"
495,Francisco,FRANCISCO,"a lord"
496,Francis,FRANCIS,"a drawer"
497,Frederick,FREDERICK,"the Duke's brother, and usurper of his dominions"
498,"French Herald","French Herald",
499,"King of France","FRENCH KING","Charles VI"
500,Frenchman,Frenchman,"friend to Philario"
501,"French Soldier","French Soldier",
502,"Friar Francis","FRIAR FRANCIS",
503,"Friar John","FRIAR JOHN","Franciscan friar"
504,"Friar Laurence","FRIAR LAURENCE","Franciscan friar"
505,"Friar Peter","FRIAR PETER",
506,"Friar Thomas","FRIAR THOMAS",
507,Froth,FROTH,"a foolish gentleman"
508,Gadshill,Gadshill,
509,Gallus,GALLUS,"friend to Caesar"
510,Gaoler,Gaoler,
511,Gaoler,Gaoler,
512,Gardener,Gardener,
513,Gardiner,GARDINER,"bishop of Winchester"
514,Garter,Garter,King-at-Arms
515,Host,Host,"host of the Garter Inn"
516,General,General,"of the French forces in Bordeaux"
517,Gentleman,Gentleman,
518,Gentleman,Gentleman,
519,Gentleman,Gent,
520,Gentleman,Gentleman,
521,Gentleman,Gentleman,
522,Gentleman,Gentleman,
523,Gentlemen,GENTLEMEN,
524,Gentlewoman,Gentlewoman,"attending on Virgilia"
525,Gentlewoman,Gentlewoman,
526,Gentlemen,Gentlemen,
527,"George Plantagenet (Duke of Clarence)",GEORGE,
528,Gertrude,Queen,"Queen of Denmark and mother to Hamlet"
529,Girl,Girl,
530,Glendower,GLENDOWER,
531,"Duke of Gloucester",GLOUCESTER,"brother to the King"
532,"Earl of Glouchester",Glou,
533,Goneril,Gon,"daughter to Lear"
534,Gonzalo,GONZALO,"an honest old counsellor"
535,"Governor of Harfleur",GOVERNOR,
536,Gower,GOWER,
537,Gower,GOWER,"as chorus"
538,Grandpre,GRANDPRE,"French lord"
539,Gratiano,GRATIANO,"Brother to Brabantio"
540,Gratiano,GRATIANO,"friend to Antonio and Bassiano"
541,Green,GREEN,"servant to King Richard II"
542,Gregory,GREGORY,"Servant to Gregory"
543,Gremio,GREMIO,
544,"Sir Thomas Grey",GREY,
545,Griffith,GRIFFITH,"gentleman-usher to Queen Katherine"
546,Groom,Groom,
547,"First Groom","FIRST GROOM",
548,"Second Groom","SECOND GROOM",
549,"Third Groom","THIRD GROOM",
550,Grumio,GRUMIO,"Petruchio's man"
551,Guard,Guard,
552,Guiderius,GUIDERIUS,"son to Cymbeline, disguised under the name of Polydote, supposed son to Morgan"
553,Guildenstern,Guil,courtier
554,"Sir Henry Guildford",GUILDFORD,
555,"James Gurney",GURNEY,"servant to Lady Faulconbridge"
556,Haberdasher,HABERDASHER,
557,Gentleman,Gent,courtier
558,"Father's Ghost",Ghost,"Ghost of Hamlet's Father"
559,Hamlet,Ham,"son of the former king and nephew to the present king"
560,Players,,
561,Priest,Priest,
562,Harcourt,HARCOURT,
563,"Lord Hastings",HASTINGS,
564,Hecate,HECATE,
565,Hector,HECTOR,"son of Priam, king of Troy"
566,Helen,HELEN,"wife to Menelaus"
567,Helena,HELENA,"a gentlewoman protected by the Countess"
568,Helena,HELENA,"in love with Demetrius"
569,Helen,HELEN,"a lady attending on Cymbeline"
570,Helenus,HELENUS,"son of Priam, king of Troy"
571,Helicanus,HELICANUS,"a lord of Tyre"
572,"Henry IV","KING HENRY IV","King of England"
573,"Henry V",HENRY5,"Prince, King of England"
574,"Henry VI","KING HENRY VI",
575,"Richmond (Henry VII)","King Henry VII","Earl of Richmond, later Henry VII"
576,"Henry VIII","KING HENRY VIII",
577,Winchester,"BISHOP OF WINCHESTER","Henry Beaufort, great-uncle to Henry V, bishop of Winchster, and later cardinal"
578,Herald,Herald,
579,Herald,Herald,
580,Herald,Herald,
581,Herald,Her,
582,Herald,Herald,
583,Hermia,HERMIA,"daughter to Egeus, in love with Lysander"
584,Hermione,HERMIONE,"queen to Leontes"
585,Hero,HERO,"Daughter to Leonato"
586,Hippolyta,HIPPOLYTA,"queen of the Amazons, betrothed to Theseus"
587,Holofernes,HOLOFERNES,"a schoolmaster"
588,Horatio,Hor,"friend to Hamlet"
589,Hortensio,HORTENSIO,
590,Hortensius,HORTENSIUS,
591,Host,Host,"where Julia lodges"
592,Hostess,HOSTESS,
593,"Hotspur (Henry Percy)",HOTSPUR,
594,"Hubert de Burgh",HUBERT,
595,Huntsman,Huntsman,
596,"First Huntsman","FIRST HUNTSMAN",
597,"Second Huntsman","SECOND HUNTSMAN",
598,Hymen,HYMEN,
599,Iachimo,IACHIMO,"friend to Philario, an Italian."
600,Iago,IAGO,"Othello's ancient (?)"
601,Imogen,IMOGEN,"daughter to Cymbeline by a former queen"
602,Iras,IRAS,"attendant on Cleopatra"
603,Iris,IRIS,"presented by spirits"
604,"Queen Isabel","QUEEN ISABEL",
605,Isabella,ISABELLA,"sister to Claudio"
606,"Jack Cade",CADE,"a rebel"
607,Jamy,JAMY,
608,Jaquenetta,JAQUENETTA,"a country wench"
609,"Jaques (lord)",JAQUES,"the Duke's brother, and usurper of his dominions"
610,"Jaques (son)","JAQUES DE BOYS","the Duke's brother, and usurper of his dominions"
611,Jessica,JESSICA,"daughter to Shylock"
612,Jeweller,Jeweller,
613,"Joan la Pucelle","JOAN LA PUCELLE","commonly called Joan of Arc"
614,"John of Gaunt","JOHN OF GAUNT","duke of Lancaster, uncle to the king"
615,"John Holland",HOLLAND,"a follower of Cade"
616,"Father John Hume",HUME,"a priest"
617,"John Morton","BISHOP OF ELY","bishop of Ely"
618,"Father John Southwell","JOHN SOUTHWELL","a priest"
619,Joseph,JOSEPH,"a servingman"
620,"Margaret Jourdain","MARGARET JOURDAIN","a witch"
621,Julia,JULIA,"beloved of Proteus"
622,Juliet,JULIET,"Daughter to Capulet"
623,Juliet,JULIET,"beloved of Claudio"
624,Caesar,CAESAR,"(Julius Caesar)"
625,"Junius Brutus",BRUTUS,"tribune of the people"
626,Juno,JUNO,"presented by spirits"
627,Jupiter,Jupiter,
628,Justice,Justice,
629,Katharine,KATHARINE,"daughter to Charles and Isabel"
630,Katharine,KATHARINE,"lady attending on the princess"
631,Katherina,KATHERINA,"the shrew"
632,Keeper,Keeper,
633,Keeper,Keeper,
634,"Earl of Kent",,
635,"King of France",KING,
636,"King of France",France,
637,"King John","KING JOHN","king of England"
638,"King Phillip","KING PHILIP","king of France"
639,Knight,Knight,
640,Knights,Knights,
641,"Lady Anne","LADY ANNE","widow of Edward Prince of Wales, son to King Henry VI; afterwards married to Richard III"
642,"Lady Capulet","LADY CAPULET","Wife to Capulet"
643,Lady,Lady,
644,"Lady Faulconbridge","LADY FAULCONBRIDGE","wife to Sir Robert Faulconbridge"
645,Lady,Lady,"attending on the Queen"
646,"Lady Macbeth","LADY MACBETH",
647,"Lady Macduff","LADY MACDUFF",
648,"Lady Montague","LADY MONTAGUE","Wife to Montague"
649,"Lady Northumberland","LADY NORTHUMBERLAND",
650,"Lady Percy","LADY PERCY",
651,Laertes,Laer,"son to Polonius"
652,Lafeu,LAFEU,"an old lord"
653,"John of Lancaster",,"son of King Henry IV"
654,"Titus Lartius",TITUS,"general against the Volscians"
655,Launce,LAUNCE,"the like to Proteus"
656,"Launcelot Gobbo",LAUNCELOT,"the clown, servant to Shylock"
657,Lavinia,LAVINIA,
658,Lawyer,Lawyer,
659,Lear,Lear,"King of Britain"
