id,Act,Scene,Description,work_id
18910,5,2,"The rebel camp.",9
18911,5,3,"Plain between the camps.",9
18912,5,4,"Another part of the field.",9
18913,5,5,"Another part of the field.",9
18914,0,1,"Warkworth. Before NORTHUMBERLAND’S Castle",10
18915,1,1,"Warkworth. Before NORTHUMBERLAND’S Castle",10
18916,1,2,"London. A street",10
18917,1,3,"York. The ARCHBISHOP’S palace",10
18918,2,1,"London. A street",10
18919,2,2,"London. Another street",10
18920,2,3,"Warkworth. Before the castle",10
18921,2,4,"London. The Boar’s Head Tavern in Eastcheap",10
18922,3,1,"Westminster. The palace",10
18923,3,2,"Gloucestershire. Before Justice, SHALLOW’S house",10
18924,4,1,"Yorkshire. Within the Forest of Gaultree",10
18925,4,2,"Another part of the forest",10
18926,4,3,"Another part of the forest",10
18927,4,4,"Westminster. The Jerusalem Chamber",10
18928,4,5,"Westminster. Another chamber",10
18929,5,1,"Gloucestershire. SHALLOW’S house",10
18930,5,2,"Westminster. The palace",10
18931,5,3,"Gloucestershire. SHALLOW’S orchard",10
18932,5,4,"London. A street",10
18933,5,5,"Westminster. Near the Abbey",10
18934,0,1,Prologue.,11
18935,1,1,"London. An ante-chamber in the KING’S palace.",11
18936,1,2,"The same. The Presence chamber.",11
18937,2,0,Prologue.,11
18938,2,1,"London. A street.",11
18939,2,2,"Southampton. A council-chamber.",11
18940,2,3,"London. Before a tavern.",11
18941,2,4,"France. The KING’S palace.",11
18942,3,0,Prologue.,11
18943,3,1,"France. Before Harfleur.",11
18944,3,2,"The same.",11
18945,3,3,"The same. Before the gates.",11
18946,3,4,"The FRENCH KING’s palace.",11
18947,3,5,"The same.",11
18948,3,6,"The English camp in Picardy.",11
18949,3,7,"The French camp, near Agincourt:",11
18950,4,0,Prologue.,11
18951,4,1,"The English camp at Agincourt.",11
18952,4,2,"The French camp.",11
18953,4,3,"The English camp.",11
18954,4,4,"The field of battle.",11
18955,4,5,"Another part of the field.",11
18956,4,6,"Another part of the field.",11
18957,4,7,"Another part of the field.",11
18958,4,8,"Before KING HENRY’S pavilion.",11
18959,5,0,Prologue.,11
18960,5,1,"France. The English camp.",11
18961,5,2,"France. A royal palace.",11
18962,1,1,"Westminster Abbey.",12
18963,1,2,"France. Before Orleans.",12
18964,1,3,"London. Before the Tower.",12
18965,1,4,Orleans.,12
18966,1,5,"The same.",12
18967,1,6,"The same.",12
18968,2,1,"Before Orleans.",12
18969,2,2,"Orleans. Within the town.",12
18970,2,3,"Auvergne. The COUNTESS’s castle.",12
18971,2,4,"London. The Temple-garden.",12
18972,2,5,"The Tower of London.",12
18973,3,1,"London. The Parliament-house.",12
18974,3,2,"France. Before Rouen.",12
18975,3,3,"The plains near Rouen.",12
18976,3,4,"Paris. The palace.",12
18977,4,1,"Paris. A hall of state.",12
18978,4,2,"Before Bourdeaux.",12
18979,4,3,"Plains in Gascony.",12
18980,4,4,"Other plains in Gascony.",12
18981,4,5,"The English camp near Bourdeaux.",12
18982,4,6,"A field of battle.",12
18983,4,7,"Another part of the field.",12
18984,5,1,"London. The palace.",12
18985,5,2,"France. Plains in Anjou.",12
18986,5,3,"Before Angiers.",12
18987,5,4,"Camp of the YORK in Anjou.",12
18988,5,5,"London. The palace.",12
18989,1,1,"London. The palace.",13
18990,1,2,"GLOUCESTER’S house.",13
18991,1,3,"The palace.",13
18992,1,4,"GLOUCESTER’s garden.",13
18993,2,1,"Saint Alban’s.",13
18994,2,2,"London. YORK’S garden.",13
18995,2,3,"A hall of justice.",13
18996,2,4,"A street.",13
18997,3,1,"The Abbey at Bury St. Edmund’s.",13
18998,3,2,"Bury St. Edmund’s. A room of state.",13
18999,3,3,"A bedchamber.",13
19000,4,1,"The coast of Kent.",13
19001,4,2,Blackheath.,13
19002,4,3,"Another part of Blackheath.",13
19003,4,4,"London. The palace.",13
19004,4,5,"London. The Tower.",13
19005,4,6,"London. Cannon Street.",13
19006,4,7,"London. Smithfield.",13
19007,4,8,Southwark.,13
19008,4,9,"Kenilworth Castle.",13
19009,4,10,"Kent. IDEN’s garden.
",13
19010,5,1,"Fields between Dartford and Blackheath.",13
19011,5,2,"Saint Alban’s.",13
19012,5,3,"Fields near St. Alban’s.",13
19013,1,1,"London. The Parliament-house.",14
19014,1,2,"Sandal Castle.",14
19015,1,3,"Field of battle betwixt Sandal Castle and Wakefield.",14
19016,1,4,"Another part of the field.",14
19017,2,1,"A plain near Mortimer’s Cross in Herefordshire.",14
19018,2,2,"Before York.",14
19019,2,3,"A field of battle between Towton and Saxton, in",14
19020,2,4,"Another part of the field.",14
19021,2,5,"Another part of the field.",14
19022,2,6,"Another part of the field.",14
19023,3,1,"A forest in the north of England.",14
19024,3,2,"London. The palace.",14
19025,3,3,"France. KING LEWIS XI’s palace.",14
19026,4,1,"London. The palace.",14
19027,4,2,"A plain in Warwickshire.",14
19028,4,3,"Edward’s camp, near Warwick.",14
19029,4,4,"London. The palace.",14
19030,4,5,"A park near Middleham Castle In Yorkshire.",14
19031,4,6,"London. The Tower.",14
19032,4,7,"Before York.",14
19033,4,8,"London. The palace.",14
19034,5,1,Coventry.,14
19035,5,2,"A field of battle near Barnet.",14
19036,5,3,"Another part of the field.",14
19037,5,4,"Plains near Tewksbury.",14
19038,5,5,"Another part of the field.",14
19039,5,6,"London. The Tower.",14
19040,5,7,"London. The palace.",14
19041,1,0,Prologue.,15
19042,1,1,"London. An ante-chamber in the palace.",15
19043,1,2,"The same. The council-chamber.",15
19044,1,3,"An ante-chamber in the palace.",15
19045,1,4,"A Hall in York Place.",15
19046,2,1,"Westminster. A street.",15
19047,2,2,"An ante-chamber in the palace.",15
19048,2,3,"An ante-chamber of the QUEEN’S apartments.",15
19049,2,4,"A hall in Black-Friars.",15
19050,3,1,"London. QUEEN KATHARINE’s apartments.",15
19051,3,2,"Ante-chamber to KING HENRY VIII’s apartment.",15
19052,4,1,"A street in Westminster.",15
19053,4,2,Kimbolton.,15
19054,5,1,"London. A gallery in the palace.",15
19055,5,2,"Before the council-chamber. Pursuivants, Pages, &c.",15
19056,5,3,"The Council-Chamber.",15
19057,5,4,"The palace yard.",15
19058,5,5,"The palace.",15
19059,1,1,"Rome. A street.",16
19060,1,2,"A public place.",16
19061,1,3,"The same. A street.",16
19062,2,1,"Rome. BRUTUS’s orchard.",16
19063,2,2,"CAESAR’s house.",16
19064,2,3,"A street near the Capitol.",16
19065,2,4,"Another part of the same street, before the house of BRUTUS.",16
19066,3,1,"Rome. Before the Capitol; the Senate sitting above.",16
19067,3,2,"The Forum.",16
19068,3,3,"A street.",16
19069,4,1,"A house in Rome.",16
19070,4,2,"Camp near Sardis. Before BRUTUS’s tent.",16
19071,4,3,"Brutus’s tent.",16
19072,5,1,"The plains of Philippi.",16
19073,5,2,"The same. The field of battle.",16
19074,5,3,"Another part of the field.",16
19075,5,4,"Another part of the field.",16
19076,5,5,"Another part of the field.",16
19077,1,1,"KING JOHN’S palace.",17
19078,2,1,"France. Before Angiers.",17
19079,3,1,"The French King’s pavilion.",17
19080,3,2,"The same. Plains near Angiers.",17
19081,3,3,"The same.",17
19082,3,4,"The same. KING PHILIP’S tent.",17
19083,4,1,"A room in a castle.",17
19084,4,2,"KING JOHN’S palace.",17
19085,4,3,"Before the castle.",17
19086,5,1,"KING JOHN’S palace.",17
19087,5,2,"LEWIS’s camp at St. Edmundsbury.",17
19088,5,3,"The field of battle.",17
19089,5,4,"Another part of the field.",17
19090,5,5,"The French camp.",17
19091,5,6,"An open place in the neighbourhood of Swinstead Abbey.",17
19092,5,7,"The orchard in Swinstead Abbey.",17
19093,1,1,"King Lear’s Palace.",18
19094,1,2,"The Earl of Gloucester’s Castle.",18
19095,1,3,"The Duke of Albany’s Palace.",18
19096,1,4,"The Duke of Albany’s Palace. Enter Kent, [disguised].",18
19097,1,5,"Court before the Duke of Albany’s Palace. Enter Lear, Kent, and Fool.",18
19098,2,1,"A court within the Castle of the Earl of Gloucester.",18
19099,2,2,"Before Gloucester’s Castle. Enter Kent and [Oswald the] Steward, severally.",18
19100,2,3,"The open country.",18
19101,2,4,"Before Gloucester’s Castle; Kent in the stocks.",18
19102,3,1,"A heath. Storm still.",18
19103,3,2,"Another part of the heath. Storm still.",18
19104,3,3,"Gloucester’s Castle.",18
19105,3,4,"The heath. Before a hovel. Storm still.",18
19106,3,5,"Gloucester’s Castle.",18
19107,3,6,"A farmhouse near Gloucester’s Castle.",18
19108,3,7,"Gloucester’s Castle. Enter Cornwall, Regan, Goneril, [Edmund the] Bastard, and Servants.",18
19109,4,1,"The heath.",18
19110,4,2,"Before the Duke of Albany’s Palace.",18
19111,4,3,"The French camp near Dover.",18
19112,4,4,"The French camp.",18
19113,4,5,"Gloucester’s Castle.",18
19114,4,6,"The country near Dover. Enter Gloucester, and Edgar [like a Peasant].",18
19115,4,7,"A tent in the French camp.",18
19116,5,1,"The British camp near Dover.",18
19117,5,2,"A field between the two camps. Alarum within.",18
19118,5,3,"The British camp, near Dover.",18
19119,1,1,"A Lover’s Complaint.",19
19120,1,1,"The king of Navarre’s park.",20
19121,1,2,"The same.",20
19122,2,1,"The same.",20
19123,3,1,"The same.",20
19124,4,1,"The same.",20
19125,4,2,"The same.",20
19126,4,3,"The same.",20
19127,5,1,"The same.",20
19128,5,2,"The same.",20
19129,1,1,"A desert place.",21
19130,1,2,"A camp near Forres.",21
19131,1,3,"A heath near Forres.",21
19132,1,4,"Forres. The palace.",21
19133,1,5,"Inverness. Macbeth’s castle.",21
19134,1,6,"Before Macbeth’s castle.",21
19135,1,7,"Macbeth’s castle.",21
19136,2,1,"Court of Macbeth’s castle.",21
19137,2,2,"The same.",21
19138,2,3,"The same.",21
19139,2,4,"Outside Macbeth’s castle.",21
19140,3,1,"Forres. The palace.",21
19141,3,2,"The palace.",21
19142,3,3,"A park near the palace.",21
19143,3,4,"The same. Hall in the palace.",21
19144,3,5,"A Heath.",21
19145,3,6,"Forres. The palace.",21
19146,4,1,"A cavern. In the middle, a boiling cauldron.",21
19147,4,2,"Fife. Macduff’s castle.",21
19148,4,3,"England. Before the King’s palace.",21
19149,5,1,"Dunsinane. Ante-room in the castle.",21
19150,5,2,"The country near Dunsinane.",21
19151,5,3,"Dunsinane. A room in the castle.",21
19152,5,4,"Country near Birnam wood.",21
19153,5,5,"Dunsinane. Within the castle.",21
19154,5,6,"Dunsinane. Before the castle.",21
19155,5,7,"Another part of the field.",21
19156,5,8,"Another part of the field.",21
19157,1,1,"An apartment in the DUKE’S palace.",22
19158,1,2,"A Street.",22
19159,1,3,"A monastery.",22
19160,1,4,"A nunnery.",22
19161,2,1,"A hall In ANGELO’s house.",22
19162,2,2,"Another room in the same.",22
19163,2,3,"A room in a prison.",22
19164,2,4,"A room in ANGELO’s house.",22
19165,3,1,"A room in the prison.",22
19166,3,2,"The street before the prison.",22
19167,4,1,"The moated grange at ST. LUKE’s.",22
19168,4,2,"A room in the prison.",22
19169,4,3,"Another room in the same.",22
19170,4,4,"A room in ANGELO’s house.",22
19171,4,5,"Fields without the town.",22
19172,4,6,"Street near the city gate.",22
19173,5,1,"The city gate.",22
19174,1,1,"Venice. A street.",23
19175,1,2,"Belmont. A room in PORTIA’S house.",23
19176,1,3,"Venice. A public place.",23
19177,2,1,"Belmont. A room in PORTIA’S house.",23
19178,2,2,"Venice. A street.",23
19179,2,3,"The same. A room in SHYLOCK’S house.",23
19180,2,4,"The same. A street.",23
19181,2,5,"The same. Before SHYLOCK’S house.",23
19182,2,6,"The same.",23
19183,2,7,"Belmont. A room in PORTIA’S house.",23
19184,2,8,"Venice. A street.",23
19185,2,9,"Belmont. A room in PORTIA’S house.",23
19186,3,1,"Venice. A street.",23
19187,3,2,"Belmont. A room in PORTIA’S house.",23
19188,3,3,"Venice. A street.",23
19189,3,4,"Belmont. A room in PORTIA’S house.",23
19190,3,5,"The same. A garden.",23
19191,4,1,"Venice. A court of justice.",23
19192,4,2,"The same. A street.",23
19193,5,1,"Belmont. Avenue to PORTIA’S house.",23
19194,1,1,"Windsor. Before PAGE’s house.",24
19195,1,2,"The same.",24
19196,1,3,"A room in the Garter Inn.",24
19197,1,4,"A room in DOCTOR CAIUS’ house.",24
19198,2,1,"Before PAGE’S house.",24
19199,2,2,"A room in the Garter Inn.",24
19200,2,3,"A field near Windsor.",24
19201,3,1,"A field near Frogmore.",24
19202,3,2,"A street.",24
19203,3,3,"A room in FORD’S house.",24
19204,3,4,"A room in PAGE’S house.",24
19205,3,5,"A room in the Garter Inn.",24
19206,4,1,"A street.",24
19207,4,2,"A room in FORD’S house.",24
19208,4,3,"A room in the Garter Inn.",24
19209,4,4,"A room in FORD’S house.",24
19210,4,5,"A room in the Garter Inn.",24
19211,4,6,"Another room in the Garter Inn.",24
19212,5,1,"A room in the Garter Inn.",24
19213,5,2,"Windsor Park.",24
19214,5,3,"A street leading to the Park.",24
19215,5,4,"Windsor Park.",24
19216,5,5,"Another part of the Park.",24
19217,1,1,"Athens. The palace of THESEUS.",25
19218,1,2,"Athens. QUINCE’S house.",25
19219,2,1,"A wood near Athens.",25
19220,2,2,"Another part of the wood.",25
19221,3,1,"The wood. TITANIA lying asleep.",25
19222,3,2,"Another part of the wood.",25
19223,4,1,"The same. LYSANDER, DEMETRIUS, HELENA, and HERMIA",25
19224,4,2,"Athens. QUINCE’S house.",25
19225,5,1,"Athens. The palace of THESEUS.",25
19226,1,1,"Before LEONATO’S house.",26
19227,1,2,"A room in LEONATO’s house.",26
19228,1,3,"The same.",26
19229,2,1,"A hall in LEONATO’S house.",26
19230,2,2,"The same.",26
19231,2,3,"LEONATO’S orchard.",26
19232,3,1,"LEONATO’S garden.",26
19233,3,2,"A room in LEONATO’S house",26
19234,3,3,"A street.",26
19235,3,4,"HERO’s apartment.",26
19236,3,5,"Another room in LEONATO’S house.",26
19237,4,1,"A church.",26
19238,4,2,"A prison.",26
19239,5,1,"Before LEONATO’S house.",26
19240,5,2,"LEONATO’S garden.",26
19241,5,3,"A church.",26
19242,5,4,"A room in LEONATO’S house.",26
19243,1,1,"Venice. A street.",27
19244,1,2,"Another street.",27
19245,1,3,"A council-chamber.",27
19246,2,1,"A Sea-port in Cyprus. An open place near the quay.",27
19247,2,2,"A street.",27
19248,2,3,"A hall in the castle.",27
19249,3,1,"Before the castle.",27
19250,3,2,"A room in the castle.",27
19251,3,3,"The garden of the castle.",27
19252,3,4,"Before the castle.",27
19253,4,1,"Cyprus. Before the castle.",27
19254,4,2,"A room in the castle.",27
19255,4,3,"Another room in the castle.",27
19256,5,1,"Cyprus. A street.",27
19257,5,2,"A bedchamber in the castle: DESDEMONA in bed asleep;",27
19258,1,1,---,28
19259,1,2,---,28
19260,1,3,---,28
19261,1,4,---,28
19262,1,5,---,28
19263,1,6,---,28
19264,1,7,---,28
19265,1,8,---,28
19266,1,9,---,28
19267,1,10,"---
",28
19268,1,11,"---
",28
19269,1,12,"---
",28
19270,1,13,"---
",28
19271,1,14,"---
",28
19272,1,15,"---
",28
19273,1,16,"Sonnet to sundry notes of music
",28
19274,1,17,"Sonnet to sundry notes of music
",28
19275,1,18,"Sonnet to sundry notes of music
",28
19276,1,19,"Sonnet to sundry notes of music
",28
19277,1,20,"Sonnet to sundry notes of music
",28
19278,1,21,"Sonnet to sundry notes of music
",28
19279,1,0,Prologue.,29
19280,1,1,"Antioch. A room in the palace.",29
19281,1,2,"Tyre. A room in the palace.",29
19282,1,3,"Tyre. An ante-chamber in the palace.",29
19283,1,4,"Tarsus. A room in the Governor’s house.",29
19284,2,1,"Pentapolis. An open place by the sea-side.",29
19285,2,2,"The same. A public way or platform leading to the",29
19286,2,3,"The same. A hall of state: a banquet prepared.",29
19287,2,4,"Tyre. A room in the Governor’s house.",29
19288,2,5,"Pentapolis. A room in the palace.",29
19289,3,0,Chorus.,29
19290,3,1,"On ship.",29
19291,3,2,"Ephesus. A room in CERIMON’s house.",29
19292,3,3,"Tarsus. A room in CLEON’s house.",29
19293,3,4,"Ephesus. A room in CERIMON’s house.",29
19294,4,0,"Near the seashore.",29
19295,4,1,"Tarsus. An open place near the sea-shore.",29
19296,4,2,"Mytilene. A room in a brothel.",29
19297,4,3,"Tarsus. A room in CLEON’s house.",29
19298,4,4,Chorus.,29
19299,4,5,"Mytilene. A street before the brothel.",29
19300,4,6,"The same. A room in the brothel.",29
19301,5,0,Chorus.,29
19302,5,1,"On board PERICLES’ ship, off Mytilene. A close",29
19303,5,2,Chorus.,29
19304,5,3,"The temple of Diana at Ephesus; THAISA standing",29
19305,1,1,"The Phoenix and the Turtle",30
19306,1,0,Dedication,31
19307,1,1,"The Argument",31
19308,1,2,"The Rape of Lucrece",31
19309,1,1,"London. KING RICHARD II’s palace.",32
19310,1,2,"The DUKE OF LANCASTER’S palace.",32
19311,1,3,"The lists at Coventry.",32
19312,1,4,"The court.",32
19313,2,1,"Ely House.",32
19314,2,2,"The palace.",32
19315,2,3,"Wilds in Gloucestershire.",32
19316,2,4,"A camp in Wales.",32
19317,3,1,"Bristol. Before the castle.",32
19318,3,2,"The coast of Wales. A castle in view.",32
19319,3,3,"Wales. Before Flint castle.",32
19320,3,4,"LANGLEY. The DUKE OF YORK’s garden.",32
19321,4,1,"Westminster Hall.",32
19322,5,1,"London. A street leading to the Tower.",32
19323,5,2,"The DUKE OF YORK’s palace.",32
19324,5,3,"A royal palace.",32
19325,5,4,"The same.",32
19326,5,5,"Pomfret castle.",32
19327,5,6,"Windsor castle.",32
19328,1,1,"London. A street.",33
19329,1,2,"The same. Another street.",33
19330,1,3,"The palace.",33
19331,1,4,"London. The Tower.",33
19332,2,1,"London. The palace.",33
19333,2,2,"The palace.",33
19334,2,3,"London. A street.",33
19335,2,4,"London. The palace.",33
19336,3,1,"London. A street.",33
19337,3,2,"Before Lord Hastings’ house.",33
19338,3,3,"Pomfret Castle.",33
19339,3,4,"The Tower of London.",33
19340,3,5,"The Tower-walls.",33
19341,3,6,"The same.",33
19342,3,7,"Baynard’s Castle.",33
19343,4,1,"Before the Tower.",33
19344,4,2,"London. The palace.",33
19345,4,3,"The same.",33
19346,4,4,"Before the palace.",33
19347,4,5,"Lord Derby’s house.",33
19348,5,1,"Salisbury. An open place.",33
19349,5,2,"The camp near Tamworth.",33
19350,5,3,"Bosworth Field.",33
19351,5,4,"Another part of the field.",33
19352,5,5,"Another part of the field.",33
